SIRUTA	DENLOC	CODP	JUD	SIRSUP	TIP	NIV	MED	REGIUNE	FSJ	FSL	FS2	FS3	POND	rang	fictiv
4231	PÂNCA                            	517264	1	9026	23	3	3	7	1	1.50E+11	150008	3008624	3115291713	V  	
3459	BUCIUM                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.64E+11	IV 	
3468	BUCIUM                           	517165	1	3459	22	3	3	7	1	1.50E+11	150009	1001723	1.64E+11	IV 	
3477	ANGHELE?TI                       	517166	1	3459	23	3	3	7	1	1.50E+11	150009	3000215	1.33E+19	V  	
3486	BISERICANI                       	517167	1	3459	23	3	3	7	1	1.50E+11	150009	3001098	1.62E+19	V  	
3495	BUCIUM-SAT                       	517168	1	3459	23	3	3	7	1	1.50E+11	150009	3001728	1.64E+19	V  	
3501	CERBU                            	517169	1	3459	23	3	3	7	1	1.50E+11	150009	3002481	1719331638	V  	
3510	CIUCULE?TI                       	517171	1	3459	23	3	3	7	1	1.50E+11	150009	3002882	1.72E+19	V  	
3529	COLE?ENI                         	517172	1	3459	23	3	3	7	1	1.50E+11	150009	3003070	1.73E+15	V  	
3538	DOG?RE?TI                        	517173	1	3459	23	3	3	7	1	1.50E+11	150009	3004162	1.83E+17	V  	
3547	FERE?TI                          	517174	1	3459	23	3	3	7	1	1.50E+11	150009	3004696	2.02E+13	V  	
3556	FLORE?TI                         	517176	1	3459	23	3	3	7	1	1.50E+11	150009	3004789	2.03E+15	V  	
3565	GURA IZBITEI                     	517177	1	3459	23	3	3	7	1	1.50E+11	150009	3005613	2.14E+23	V  	
3574	HELE?TI                          	517178	1	3459	23	3	3	7	1	1.50E+11	150009	3005784	2.22E+13	V  	
3583	IZBICIOARA                       	517179	1	3459	23	3	3	7	1	1.50E+11	150009	3006250	2.34E+19	V  	
3592	IZBITA                           	517181	1	3459	23	3	3	7	1	1.50E+11	150009	3006251	2.34E+11	V  	
3609	JURCUIE?TI                       	517182	1	3459	23	3	3	7	1	1.50E+11	150009	3006423	2.54E+19	V  	
3618	LUPULE?TI                        	517183	1	3459	23	3	3	7	1	1.50E+11	150009	3006918	2.74E+17	V  	
3627	M?GURA                           	517184	1	3459	23	3	3	7	1	1.50E+11	150009	3007099	2.83E+11	V  	
3636	MUNTARI                          	517186	1	3459	23	3	3	7	1	1.50E+11	150009	3007800	2.84E+13	V  	
3645	PETRENI                          	517187	1	3459	23	3	3	7	1	1.50E+11	150009	3008766	3.12E+13	V  	
3654	POIANA                           	517188	1	3459	23	3	3	7	1	1.50E+11	150009	3009170	3.13E+11	V  	
3663	POIENI                           	517189	1	3459	23	3	3	7	1	1.50E+11	150009	3009270	3.13E+11	V  	
3672	STÂLNI?OARA                      	517191	1	3459	23	3	3	7	1	1.50E+11	150009	3011205	3.44E+21	V  	
3681	VALEA ABRUZEL                    	517192	1	3459	23	3	3	7	1	1.50E+11	150009	3012646	3.91E+25	V  	
3690	VALEA ALB?                       	517193	1	3459	23	3	3	7	1	1.50E+11	150009	3012649	3.91E+19	V  	
3707	VALEA CERBULUI                   	517194	1	3459	23	3	3	7	1	1.50E+11	150009	3012701	3.91E+27	V  	
3716	VALEA NEGRILESII                 	517196	1	3459	23	3	3	7	1	1.50E+11	150009	3012883	3.91E+31	V  	
3725	VALEA POIENII                    	517197	1	3459	23	3	3	7	1	1.50E+11	150009	3012906	3.91E+25	V  	
3734	VALEA ?ESII                      	517198	1	3459	23	3	3	7	1	1.50E+11	150009	3012982	3.91E+21	V  	
3743	V?LENI                           	517199	1	3459	23	3	3	7	1	1.50E+11	150009	3013109	3.94E+11	V  	
3752	VÂLCEA                           	517201	1	3459	23	3	3	7	1	1.50E+11	150009	3013186	3.92E+11	V  	
4106	CÂLNIC                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+11	IV 	
4115	CÂLNIC                           	517205	1	4106	22	3	3	7	1	1.50E+11	150010	1002323	1.72E+11	IV 	
4133	DEAL                             	517207	1	4106	23	3	3	7	1	1.50E+11	150010	3003900	18191327	V  	
3761	CENADE                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+11	IV 	
3770	CENADE                           	517210	1	3761	22	3	3	7	1	1.50E+11	150011	1002455	1.72E+11	IV 	
3789	CAPU DEALULUI                    	517211	1	3761	23	3	3	7	1	1.50E+11	150011	3002037	1.71E+25	V  	
3798	GORGAN                           	517212	1	3761	23	3	3	7	1	1.50E+11	150011	3005416	2.13E+11	V  	
3805	CERG?U                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+11	IV 	
3814	CERG?U MARE                      	517216	1	3805	22	3	3	7	1	1.50E+11	150012	1002490	1.72E+21	IV 	
3823	CERG?U MIC                       	517217	1	3805	23	3	3	7	1	1.50E+11	150012	3002491	1.72E+19	V  	
3832	LUPU                             	517218	1	3805	23	3	3	7	1	1.50E+11	150012	3006915	27383138	V  	
3841	CERU-B?C?IN?I                    	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+25	IV 	
3850	CERU-B?C?IN?I                    	517220	1	3841	22	3	3	7	1	1.50E+11	150013	1002532	1.72E+25	IV 	
3869	BOLOV?NE?TI                      	517221	1	3841	23	3	3	7	1	1.50E+11	150013	3001341	1.63E+21	V  	
3878	BULBUC                           	517222	1	3841	23	3	3	7	1	1.50E+11	150013	3001860	1.64E+11	V  	
3887	CUCUTA                           	517223	1	3841	23	3	3	7	1	1.50E+11	150013	3003673	1.74E+11	V  	
3896	CURPENI                          	517224	1	3841	23	3	3	7	1	1.50E+11	150013	3003732	1.74E+13	V  	
3903	DUMBR?VI?A                       	517226	1	3841	23	3	3	7	1	1.50E+11	150013	3004436	1.84E+19	V  	
3912	FÂNTÂNELE                        	517227	1	3841	23	3	3	7	1	1.50E+11	150013	3004641	2.02E+17	V  	
3921	GRO?I                            	517228	1	3841	23	3	3	7	1	1.50E+11	150013	3005545	2133303023	V  	
3930	VALEA MARE                       	517229	1	3841	23	3	3	7	1	1.50E+11	150013	3012831	3.91E+19	V  	
3949	VIEZURI                          	517231	1	3841	23	3	3	7	1	1.50E+11	150013	3013347	3.92E+13	V  	
3958	CETATEA DE BALT?                 	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+31	IV 	
3967	CETATEA DE BALT?                 	517235	1	3958	22	3	3	7	1	1.50E+11	150014	1002544	1.72E+31	IV 	
3976	CRACIUNELU DE SUS                	517236	1	3958	23	3	3	7	1	1.50E+11	150014	3003481	1.73E+33	V  	
3985	SÂNT?M?RIE                       	517237	1	3958	23	3	3	7	1	1.50E+11	150014	3010646	3.42E+19	V  	
3994	T?TÂRLAUA                        	517238	1	3958	23	3	3	7	1	1.50E+11	150014	3011850	3.64E+17	V  	
1071	CIUGUD                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+11	IV 	
1080	CIUGUD                           	517240	1	1071	22	3	3	7	1	1.50E+11	150015	1002886	1.72E+11	IV 	
1099	DRÂMBAR                          	517241	1	1071	23	3	3	7	1	1.50E+11	150015	3004333	1.83E+13	V  	
1115	H?PRIA                           	517243	1	1071	23	3	3	7	1	1.50E+11	150015	3005735	2.22E+11	V  	
1106	LIMBA                            	517242	1	1071	23	3	3	7	1	1.50E+11	150015	3004392	2723281613	V  	
1124	?EU?A                            	517244	1	1071	23	3	3	7	1	1.50E+11	150015	3011548	1319383813	V  	
1133	TELEAC                           	517246	1	1071	23	3	3	7	1	1.50E+11	150015	3011961	3.62E+11	V  	
4008	CIURULEASA                       	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.72E+19	IV 	
4017	CIURULEASA                       	517250	1	4008	22	3	3	7	1	1.50E+11	150016	1002939	1.72E+19	IV 	
4026	BIDIGE?TI                        	517251	1	4008	23	3	3	7	1	1.50E+11	150016	3001071	1.62E+17	V  	
4035	BODRE?TI                         	517252	1	4008	23	3	3	7	1	1.50E+11	150016	3001233	1.63E+15	V  	
4044	BOGLE?TI                         	517253	1	4008	23	3	3	7	1	1.50E+11	150016	3001281	1.63E+15	V  	
4053	BUNINGINEA                       	517254	1	4008	23	3	3	7	1	1.50E+11	150016	3001899	1.64E+19	V  	
4062	GHEDULE?TI                       	517256	1	4008	23	3	3	7	1	1.50E+11	150016	3005156	2.12E+19	V  	
4071	M?TI?E?TI                        	517257	1	4008	23	3	3	7	1	1.50E+11	150016	3007267	2.83E+17	V  	
4080	MOR?RE?TI                        	517258	1	4008	23	3	3	7	1	1.50E+11	150016	3007688	2.83E+17	V  	
4099	VULCAN                           	517259	1	4008	23	3	3	7	1	1.50E+11	150016	3013562	3.94E+11	V  	
4188	CR?CIUNELU DE JOS                	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.73E+33	IV 	
4197	CR?CIUNELU DE JOS                	517260	1	4188	22	3	3	7	1	1.50E+11	150017	1003506	1.73E+33	IV 	
4142	CRIC?U                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.73E+11	IV 	
4151	CRIC?U                           	517265	1	4142	22	3	3	7	1	1.50E+11	150018	1003562	1.73E+11	IV 	
4160	CRAIVA                           	517266	1	4142	23	3	3	7	1	1.50E+11	150018	3003493	1.73E+11	V  	
4179	TIBRU                            	517267	1	4142	23	3	3	7	1	1.50E+11	150018	3012006	3623163338	V  	
9019	CUT                              	0	1	10	3	2	3	7	1	1.50E+11	1	       	173836	   	0
4124	CUT                              	517206	1	9019	22	3	3	7	1	1.50E+11	150019	3003759	173836	V  	
4240	DAIA ROMÂN?                      	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.81E+21	IV 	
4259	DAIA ROMÂN?                      	517270	1	4240	22	3	3	7	1	1.50E+11	150020	1003792	1.81E+21	IV 	
4268	DO?TAT                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.83E+11	IV 	
4277	DO?TAT                           	517275	1	4268	22	3	3	7	1	1.50E+11	150021	1004232	1.83E+11	IV 	
4286	BOZ                              	517276	1	4268	23	3	3	7	1	1.50E+11	150021	3001474	163042	V  	
4295	DEALU DO?TATULUI                 	517277	1	4268	23	3	3	7	1	1.50E+11	150021	3003921	1.82E+31	V  	
4302	F?R?U                            	0	1	10	3	2	3	7	1	1.50E+11	1	       	2020333338	IV 	
4311	F?R?U                            	517280	1	4302	22	3	3	7	1	1.50E+11	150022	1004582	2020333338	IV 	
4320	HERIA                            	517281	1	4302	23	3	3	7	1	1.50E+11	150022	3005797	2219332313	V  	
4339	MEDVE?                           	517282	1	4302	23	3	3	7	1	1.50E+11	150022	3007332	2.82E+11	V  	
4348	SÂNBENEDIC                       	517283	1	4302	23	3	3	7	1	1.50E+11	150022	3010570	3.42E+19	V  	
4357	?ILEA                            	517284	1	4302	23	3	3	7	1	1.50E+11	150022	3011563	1723271913	V  	
4366	GALDA DE JOS                     	0	1	10	3	2	3	7	1	1.50E+11	1	       	2.11E+23	IV 	
4375	GALDA DE JOS                     	517285	1	4366	22	3	3	7	1	1.50E+11	150023	1004968	2.11E+23	IV 	
4384	BENIC                            	517286	1	4366	23	3	3	7	1	1.50E+11	150023	3000965	1619292317	V  	
4393	CETEA                            	517287	1	4366	23	3	3	7	1	1.50E+11	150023	3002557	1719361913	V  	
4400	GALDA DE SUS                     	517288	1	4366	23	3	3	7	1	1.50E+11	150023	3004969	2.11E+23	V  	
4419	LUP?ENI                          	517289	1	4366	23	3	3	7	1	1.50E+11	150023	3006913	2.74E+13	V  	
4428	M?GURA                           	517291	1	4366	23	3	3	7	1	1.50E+11	150023	3007098	2.83E+11	V  	
4437	MESENTEA                         	517292	1	4366	23	3	3	7	1	1.50E+11	150023	3007381	2.82E+15	V  	
4446	OIEJDEA                          	517293	1	4366	23	3	3	7	1	1.50E+11	150023	3008227	3.02E+13	V  	
4455	POIANA GALDEI                    	517294	1	4366	23	3	3	7	1	1.50E+11	150023	3009209	3.13E+25	V  	
4464	R?ICANI                          	517296	1	4366	23	3	3	7	1	1.50E+11	150023	3009790	3.33E+13	V  	
4473	Z?GRI?                           	517297	1	4366	23	3	3	7	1	1.50E+11	150023	3013619	4.24E+11	V  	
4482	GÂRBOVA                          	0	1	10	3	2	3	7	1	1.50E+11	1	       	2.12E+13	IV 	
4491	GÂRBOVA                          	517305	1	4482	22	3	3	7	1	1.50E+11	150024	1005082	2.12E+13	IV 	
