SIRUTA,DENLOC,CODP,JUD,SIRSUP,TIP,NIV,MED,REGIUNE,FSJ,FSL,FS2,FS3,POND,rang,fictiv
2149,ALBAC                            ,517005,1,2130,22,3,3,7,1,1.50001E+11,150001,1000085,1327161317,IV ,
2158,BĂRĂŞTI                          ,517006,1,2130,23,3,3,7,1,1.50002E+11,150001,3000742,1.61633E+13,V  ,
2167,BUDĂIEŞTI                        ,517007,1,2130,23,3,3,7,1,1.50002E+11,150001,3001788,1.63818E+17,V  ,
2176,CIONEŞTI                         ,517008,1,2130,23,3,3,7,1,1.50002E+11,150001,3002813,1.7233E+15,V  ,
2185,COSTEŞTI                         ,517009,1,2130,23,3,3,7,1,1.50002E+11,150001,3003348,1.73034E+15,V  ,
2194,DEALU LĂMĂŞOI                    ,517011,1,2130,23,3,3,7,1,1.50002E+11,150001,3003932,1.81913E+25,V  ,
2201,DEVE                             ,517012,1,2130,23,3,3,7,1,1.50002E+11,150001,3004040,18193919,V  ,
2210,DUPĂ PLEŞE                       ,517013,1,2130,23,3,3,7,1,1.50002E+11,150001,3004478,1.83831E+19,V  ,
2229,FAŢA                             ,517014,1,2130,23,3,3,7,1,1.50002E+11,150001,3004534,20131313,V  ,
2238,PLEŞEŞTI                         ,517016,1,2130,23,3,3,7,1,1.50002E+11,150001,3008988,3.12719E+15,V  ,
2247,POTIONCI                         ,517017,1,2130,23,3,3,7,1,1.50002E+11,150001,3009431,3.13036E+15,V  ,
2256,ROGOZ                            ,517018,1,2130,23,3,3,7,1,1.50002E+11,150001,3010010,3330213042,V  ,
2265,ROŞEŞTI                          ,517019,1,2130,23,3,3,7,1,1.50002E+11,150001,3010061,3.3303E+13,V  ,
2274,RUSEŞTI                          ,517021,1,2130,23,3,3,7,1,1.50002E+11,150001,3010203,3.33834E+13,V  ,
2283,SOHODOL                          ,517022,1,2130,23,3,3,7,1,1.50002E+11,150001,3011092,3.43022E+13,V  ,
2292,TAMBOREŞTI                       ,517023,1,2130,23,3,3,7,1,1.50002E+11,150001,3011755,3.61328E+19,V  ,
2309,ALMAŞU MARE                      ,0,1,10,3,2,3,7,1,1.50002E+11,1,       ,1.32728E+21,IV ,
2318,ALMAŞU MARE                      ,517030,1,2309,22,3,3,7,1,1.50002E+11,150002,1000153,1.32728E+21,IV ,
2327,ALMAŞU DE MIJLOC                 ,517031,1,2309,23,3,3,7,1,1.50003E+11,150002,3000152,1.32728E+31,V  ,
2336,BRĂDET                           ,517032,1,2309,23,3,3,7,1,1.50003E+11,150002,3001557,1.63333E+11,V  ,
2345,CHEILE CIBULUI                   ,517033,1,2309,23,3,3,7,1,1.50003E+11,150002,3002576,1.72219E+27,V  ,
2354,CIB                              ,517034,1,2309,23,3,3,7,1,1.50003E+11,150002,3002723,172316,V  ,
2363,GLOD                             ,517036,1,2309,23,3,3,7,1,1.50003E+11,150002,3005337,21273018,V  ,
2372,NĂDĂŞTIA                         ,517038,1,2309,23,3,3,7,1,1.50003E+11,150002,3007871,2.92918E+15,V  ,
2381,ARIEŞENI                         ,0,1,10,3,2,3,7,1,1.50003E+11,1,       ,1.33323E+15,IV ,
2390,ARIEŞENI                         ,517040,1,2381,22,3,3,7,1,1.50003E+11,150003,1000302,1.33323E+15,IV ,
2407,AVRĂMEŞTI                        ,517041,1,2381,23,3,3,7,1,1.50004E+11,150003,3000380,1.33933E+17,V  ,
2416,BUBEŞTI                          ,517042,1,2381,23,3,3,7,1,1.50004E+11,150003,3001705,1.63816E+13,V  ,
2425,CASA DE PIATRĂ                   ,517043,1,2381,23,3,3,7,1,1.50004E+11,150003,3002069,1.71334E+27,V  ,
2434,COBLEŞ                           ,517044,1,2381,23,3,3,7,1,1.50004E+11,150003,3003001,1.73016E+11,V  ,
2443,DEALU BAJULUI                    ,517046,1,2381,23,3,3,7,1,1.50004E+11,150003,3003908,1.81913E+25,V  ,
2452,FAŢA CRISTESEI                   ,517047,1,2381,23,3,3,7,1,1.50004E+11,150003,3004537,2.01313E+27,V  ,
2461,FAŢA LĂPUŞULUI                   ,517048,1,2381,23,3,3,7,1,1.50004E+11,150003,3004538,2.01313E+27,V  ,
2470,GALBENA                          ,517049,1,2381,23,3,3,7,1,1.50004E+11,150003,3004961,2.11327E+13,V  ,
2489,HODOBANA                         ,517051,1,2381,23,3,3,7,1,1.50004E+11,150003,3005849,2.23018E+15,V  ,
2498,IZLAZ                            ,517052,1,2381,23,3,3,7,1,1.50004E+11,150003,3006256,2342271342,V  ,
2504,PĂNTEŞTI                         ,517053,1,2381,23,3,3,7,1,1.50004E+11,150003,3008555,3.13129E+15,V  ,
2513,PĂTRĂHĂIŢEŞTI                    ,517054,1,2381,23,3,3,7,1,1.50004E+11,150003,3008576,3.13136E+25,V  ,
2522,POIENIŢA                         ,517056,1,2381,23,3,3,7,1,1.50004E+11,150003,3009297,3.13023E+15,V  ,
2531,RAVICEŞTI                        ,517057,1,2381,23,3,3,7,1,1.50004E+11,150003,3009719,3.31339E+17,V  ,
2540,STURU                            ,517058,1,2381,23,3,3,7,1,1.50004E+11,150003,3011368,3436383338,V  ,
2559,ŞTEI-ARIEŞENI                    ,517059,1,2381,23,3,3,7,1,1.50004E+11,150003,3011693,3.83619E+25,V  ,
2568,VANVUCEŞTI                       ,517061,1,2381,23,3,3,7,1,1.50004E+11,150003,3013041,3.91329E+19,V  ,
2577,AVRAM IANCU                      ,0,1,10,3,2,3,7,1,1.50004E+11,1,       ,1.33933E+21,IV ,
2586,AVRAM IANCU                      ,517065,1,2577,22,3,3,7,1,1.50004E+11,150004,1000371,1.33933E+21,IV ,
2595,ACHIMEŢEŞTI                      ,517066,1,2577,23,3,3,7,1,1.50005E+11,150004,3000017,1.31722E+21,V  ,
2602,AVRĂMEŞTI                        ,517067,1,2577,23,3,3,7,1,1.50005E+11,150004,3000379,1.33933E+17,V  ,
2611,BĂDĂI                            ,517068,1,2577,23,3,3,7,1,1.50005E+11,150004,3000563,1616181823,V  ,
2620,BOLDEŞTI                         ,517069,1,2577,23,3,3,7,1,1.50005E+11,150004,3001327,1.63027E+15,V  ,
2639,CĂLUGĂREŞTI                      ,517071,1,2577,23,3,3,7,1,1.50005E+11,150004,3002199,1.71727E+21,V  ,
2648,CĂSOAIA                          ,517072,1,2577,23,3,3,7,1,1.50005E+11,150004,3002279,1.71734E+13,V  ,
2657,CÂNDEŞTI                         ,517073,1,2577,23,3,3,7,1,1.50005E+11,150004,3002366,1.71529E+15,V  ,
2666,CÂRĂŞTI                          ,517074,1,2577,23,3,3,7,1,1.50005E+11,150004,3002373,1.71533E+13,V  ,
2675,CÂRŢULEŞTI                       ,517076,1,2577,23,3,3,7,1,1.50005E+11,150004,3002419,1.71533E+19,V  ,
2684,COCEŞTI                          ,517077,1,2577,23,3,3,7,1,1.50005E+11,150004,3003010,1.73017E+13,V  ,
2693,COCOŞEŞTI                        ,517078,1,2577,23,3,3,7,1,1.50005E+11,150004,3003033,1.73017E+17,V  ,
2700,COROIEŞTI                        ,517079,1,2577,23,3,3,7,1,1.50005E+11,150004,3003299,1.73033E+17,V  ,
2719,DEALU CRIŞULUI                   ,517081,1,2577,23,3,3,7,1,1.50005E+11,150004,3003918,1.81913E+27,V  ,
2728,DOLEŞTI                          ,517082,1,2577,23,3,3,7,1,1.50005E+11,150004,3004171,1.83027E+13,V  ,
2737,DUMĂCEŞTI                        ,517083,1,2577,23,3,3,7,1,1.50005E+11,150004,3004383,1.83828E+17,V  ,
2746,GOJEIEŞTI                        ,517084,1,2577,23,3,3,7,1,1.50005E+11,150004,3005389,2.13025E+17,V  ,
2755,HELEREŞTI                        ,517086,1,2577,23,3,3,7,1,1.50005E+11,150004,3005781,2.21927E+17,V  ,
2764,INCEŞTI                          ,517087,1,2577,23,3,3,7,1,1.50005E+11,150004,3006146,2.32917E+13,V  ,
2773,JOJEI                            ,517088,1,2577,23,3,3,7,1,1.50005E+11,150004,3006393,2530251923,V  ,
2782,MĂRTEŞTI                         ,517089,1,2577,23,3,3,7,1,1.50005E+11,150004,3007240,2.82833E+15,V  ,
2791,ORGEŞTI                          ,517091,1,2577,23,3,3,7,1,1.50005E+11,150004,3008327,3.03321E+13,V  ,
2808,PĂTRUŢEŞTI                       ,517092,1,2577,23,3,3,7,1,1.50005E+11,150004,3008583,3.13136E+19,V  ,
2817,PLAI                             ,517093,1,2577,23,3,3,7,1,1.50005E+11,150004,3008944,31271323,V  ,
2826,PUŞELEŞTI                        ,517094,1,2577,23,3,3,7,1,1.50005E+11,150004,3009628,3.13838E+17,V  ,
2835,ŞOICEŞTI                         ,517096,1,2577,23,3,3,7,1,1.50005E+11,150004,3011621,2.33023E+15,V  ,
2844,ŞTERTEŞTI                        ,517097,1,2577,23,3,3,7,1,1.50005E+11,150004,3011695,2.33619E+17,V  ,
2853,TÂRSA                            ,517098,1,2577,23,3,3,7,1,1.50005E+11,150004,3011919,3615333413,V  ,
2862,TÂRSA-PLAI                       ,517099,1,2577,23,3,3,7,1,1.50005E+11,150004,3011922,3.61533E+19,V  ,
2871,VALEA MACIULUI                   ,517101,1,2577,23,3,3,7,1,1.50005E+11,150004,3012815,3.91327E+27,V  ,
2880,VALEA UŢULUI                     ,517102,1,2577,23,3,3,7,1,1.50005E+11,150004,3013011,3.91327E+23,V  ,
2899,VERDEŞTI                         ,517103,1,2577,23,3,3,7,1,1.50005E+11,150004,3013292,3.91933E+15,V  ,
2906,VIDRIŞOARA                       ,517104,1,2577,23,3,3,7,1,1.50005E+11,150004,3013344,3.92318E+19,V  ,
2988,BERGHIN                          ,0,1,10,3,2,3,7,1,1.50005E+11,1,       ,1.61933E+13,IV ,
